date,sep_16,sep_50,sep_84,phase_16,phase_50,phase_84,projected_16,projected_50,projected_84
2028.7,3.45495643299,3.67579105737,3.95019138005,78.8842228619,86.8640302347,96.1886455306,1060.32126265,1128.48354848,1213.87335299
2028.8,3.45416383606,3.67538894622,3.94644044632,82.6507085719,90.141746856,99.6256671732,1065.12574062,1130.02846689,1210.24062972
2028.9,3.45234774142,3.67369770371,3.94139589736,85.869153164,93.605907663,103.135497996,1062.91113043,1126.78649707,1204.82251435
2029.0,3.45039203558,3.67116450855,3.93501048191,89.2440084356,97.1579558341,106.734029668,1056.09677469,1118.92677592,1196.57971128
2029.1,3.44649221081,3.66542554568,3.92733147546,92.727042094,100.727970246,110.460142539,1041.74174861,1108.6752026,1184.00824676
2029.2,3.43954899013,3.65894674871,3.91785865254,95.9843095164,104.460282897,114.207383146,1018.41565461,1091.3385203,1169.5941733
2029.3,3.43464024736,3.65074175477,3.90546765435,99.0110078906,107.959079843,118.021543228,989.97214292,1068.58215488,1150.74729329
2029.4,3.43048974689,3.63904484458,3.89134961821,101.855598629,111.580466992,121.777610561,953.600740693,1044.07942491,1130.67145304
2029.5,3.42575314903,3.62595072229,3.87554779943,104.88291129,115.259790875,125.588153241,910.659121192,1018.20325623,1109.4408973
2029.6,3.41932854714,3.61612409868,3.85753909302,107.924200488,118.977494685,129.517728894,861.164477511,986.778890364,1086.64921609
2029.7,3.41252378758,3.60772530017,3.83876366846,110.7438932,122.63619009,133.562751743,807.184451573,951.523716186,1062.48862579
2029.8,3.40485543649,3.59769371757,3.81972236127,113.241973125,126.196606465,137.527364098,750.738094857,910.22656111,1033.53408794
2029.9,3.39692536554,3.58870244324,3.80027615666,115.953286935,129.676521672,141.528088857,689.385624053,865.207514227,1007.29745128
