star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
GJ 649,HIP 83043,,GJ 649,2MASS J16580884+2544392,1,0,1,0,0,1,1,16h58m08.92s,25.745394,+25d44m43.4s,10.34,0.1,-0.1,9.66,0.01,1.48,0.01,M2,0.05,0.1
HD 154345,HIP 83389,HD 154345,GJ 651,2MASS J17023639+4704540,1,1,1,0,0,1,1,17h02m36.30s,47.079804,+47d04m47.3s,18.59,0.19,-0.18,6.76,0,0.73,0.01,G8V,0.65,0.02
HIP 84012 A,HIP 84012 A,HD 155125,GJ 656.1 A,2MASS J17102267-1543298 A,1,1,0,0,0,0,0,17h10m22.66s,-15.725148,-15d43m30.5s,27.09,0.55,-0.53,2.43,0.01,0.06,0.01,A2.5VA,69.38,0.07
HIP 84143,HIP 84143,HD 155203,GJ 657,2MASS J17120920-4314212,1,1,0,0,0,0,0,17h12m09.18s,-43.23849,-43d14m18.6s,22.53,,,3.31,0.02,0.42,0.02,F2V,20.17,0.06
HIP 84379,HIP 84379,HD 156164,GJ 3995 A,2MASS J17150190+2450212 A,1,1,0,0,0,0,0,17h15m01.92s,24.839587,+24d50m22.5s,23.04,,,3.12,0,0.08,0,A3IVvSB,25.63,0.05
HIP 84405 B,HIP 84405 B,HD 155886,GJ 663 B,2MASS J17152095-2636064 B,1,1,1,1,0,0,0,17h15m21.29s,-26.600049,-26d36m00.2s,5.95,0.06,-0.06,4.33,0.01,0.86,0.01,K1.5V,0.69,0.1
HIP 84478,HIP 84478,HD 156026,GJ 664,2MASS J17161340-2632444,1,0,0,1,1,0,0,17h16m13.68s,-26.543416,-26d32m36.3s,5.95,0.06,-0.06,6.33,0.02,1.16,0.02,K5.0V,0.16,0.06
HIP 84709,HIP 84709,HD 156384,GJ 667 A,2MASS J17185698-3459236 A,1,0,1,0,0,0,0,17h18m56.36s,-34.989572,-34d59m22.5s,6.84,0.44,-0.39,6.26,0.02,1,0.02,M1.5V,0.13,0.17
HIP 84720 A,HIP 84720 A,HD 156274,GJ 666 A,2MASS J17190373-4638109,1,1,1,0,0,0,0,17h19m02.95s,-46.6365,-46d38m11.4s,8.8,0.09,-0.09,5.52,0.02,0.79,0.02,M0V,0.52,0.06
HIP 84862,HIP 84862,HD 157214,GJ 672,2MASS J17203955+3228056,1,0,1,0,1,1,0,17h20m39.47s,32.470272,+32d28m13.0s,14.33,,,5.38,0.02,0.62,0,G0V,1.3,0.06
