# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
G 196-3 b,Confirmed,15,4,30,,,,,,,,,,,,,,,,,,,,1998,12/21/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,,,,,Published in a refereed paper,Imaging,,,2MASS J10042148+5023135 b,,G 196-3,151.0894287,50.38705202,11.75,9.41,8.12,7.47,7.29,21.805,0.0185,0.0185,,,,0.4,0.05,0.05,,,,M2.5,,,,3400,100,100,,,2MASS J10042148+5023135
GJ 229 B,Confirmed,35,15,15,,,,,,,,,,,,,,,,,,,,1995,3/9/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,0,,,,,,,Published in a refereed paper,Imaging,,,Gliese 229 B,,GJ 229 A,92.64423055,-21.86464217,8.125,,,,,,,,,,,0.58,,,,,,M1 V,,,,3564,,,,,
GJ 504 b,Confirmed,4,1,4.5,,,,0.96,0.07,0.07,,,,43.5,,,,,,,,,,2013,12/1/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,3.9,Published in a refereed paper,Imaging,Spectrum,Flux,59 Vir b,CH4,GJ 504,199.1958,9.4242,5.22,,,,,17.56,0.08,0.08,0.28,0.03,0.03,1.22,0.08,0.08,,,,GOV,0.16,0.35,0.06,6234,25,25,,,"e Virginis, HR 5011, 59 Virginis"
GJ 570 D,Confirmed,42.5,4.5,4.5,,,,0.855,0.023,0.023,,,,1500,,,,,,,,,,2000,7/13/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,10,10,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,HR 5568 D,NH3,GJ 570 ABC,224.3666667,-21.4152778,5.64,,,,,5.91,0.06,0.06,0.06,,,0.802,0.04,0.04,,,,K4/M1/M3,,,,4758,,,,,HR 5568 ABC
GJ 758 b,Confirmed,45,5,5,,,,,,,109000,62000,198000,44.8,14.1,44.4,0.564,0.148,0.148,43.6,17.4,13.1,3.516129,2009,3/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,5,Published in a refereed paper,Imaging,Spectrum,,,CH4,GJ 758,290.8916667,33.2219444,6.36,,,,,15.5,,,0.18,0.04,0.04,0.97,,,0.88,,,K0V,8.2,0.5,0.5,5425,,,,,"Gliese 758, HR 7368, HD 182488"
GQ Lup b,Confirmed,21.5,20.5,20.5,,,,1.8,,,,,,103,37,37,,,,,,,0.735714,2005,12/6/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GQ Lup,237.3,-35.6508333,11.4,,,,,140,50,50,,,,0.7,,,,,,K7eV,0.001,0.001,0.001,,,,Imaging,,
GSC 08047-00232 b,Confirmed,25,10,10,,,,,,,,,,,,,,,,,,,,2003,11/27/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J01521461-5219332 b,,GSC 08047-00232,28.06094114,-52.32588483,,,9.06,8.54,8.45,86.2977,0.298,0.298,,,,0.8,0.1,0.1,,,,K2V,0.03,0.02,0.02,,,,,,2MASS J01521461-5219332
GSC 6214-210 b,Confirmed,17,3,3,,,,,,,,,,320,0,0,,,,,,,2.206897,2010,1/31/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GSC 6214-210,245.4791667,-20.7186111,,,,,9.15,145,14,14,,,,0.6,,,,,,M1,0.011,0.002,0.002,,,,,,
GU Psc b,Confirmed,11,1,1,,,,1.35,0.03,0.03,,,,2000,200,200,,,,,,,,2014,3/31/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,4.5,Published in a refereed paper,Imaging,,,,CH4,GU Psc,18.14583335,17.06555557,13.55,,,,,48,5,5,,,,0.35,,,,,,M3,0.1,0.03,0.03,,,,,,
HD 106906 b,Confirmed,11,2,2,,,,,,,,,,654,3,3,,,,,,,,2013,12/5/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD 106906,184.4708334,-54.02444442,7.8,,,,,92,6,6,,,,1.5,0.1,0.1,,,,F5V,0.013,0.002,0.002,6516,165,165,Imaging,,
